Date,Pond No,pH,TDS,Temperature,Turbidity,DO,Salinity,suitability,month
2025-05-26 19:11:34.580214,0,7.557918932265379,6613.179065732206,28.34219599599517,100.0,6.912939911403936,15.127171009351745,1,5
2025-05-27 13:11:34.580214,0,8.59178674909322,7517.813405456568,32.21920030909958,100.0,6.654221126012704,16.896088458119884,1,5
2025-05-28 06:11:34.580214,0,8.169850077475104,7148.618817790716,30.63693779053164,100.0,6.607374842793775,14.409415874845575,1,5
2025-05-30 03:11:34.580214,0,8.534998997474803,7468.124122790453,32.00624624053051,100.0,6.825235596015912,14.84061578653042,1,5
2025-05-30 04:11:34.580214,0,7.565386973795618,6619.713602071165,28.370201151733568,100.0,7.124003531825892,13.967185081965445,1,5
2025-05-31 22:11:34.580214,0,7.217306026263261,6315.142772980353,27.064897598487228,100.0,6.743436549442112,10.801152531756683,1,5
2025-06-01 14:11:34.580214,0,7.59911453615273,6649.225219133639,28.49667951057274,100.0,6.692355329986114,12.003428817393148,1,6
2025-06-02 09:11:34.580214,0,8.63412980454448,7554.86357897642,32.377986767041804,100.0,5.995358496946828,16.615891075036416,1,6
2025-06-03 21:11:34.580214,0,7.2658685185204535,6357.634953705397,27.2470069444517,100.0,6.616523871955587,13.479879944512321,1,6
2025-06-04 14:11:34.580214,0,7.804117852193996,6828.603120669746,29.265441945727485,100.0,6.654701853045029,14.018344837225264,1,6
2025-06-05 20:11:34.580214,0,7.955528967845055,6961.087846864423,29.833233629418956,100.0,6.2337221177602835,14.121277551156187,1,6
2025-06-07 02:11:34.580214,0,8.761145433295166,7666.00225413327,32.854295374856875,100.0,6.6926515503632125,15.570498455785604,1,6
2025-06-07 04:11:34.580214,0,8.713091822887856,7623.955345026874,32.67409433582946,100.0,6.7336963716691045,13.361879097623557,1,6
2025-06-08 21:11:34.580214,0,8.69686445444441,7609.756397638859,32.61324170416654,100.0,5.898093227393019,14.81906799935573,1,6
2025-06-10 01:11:34.580214,0,7.426021195855469,6497.768546373535,27.84757948445801,100.0,6.356137613145799,10.3592376845654,1,6
2025-06-10 14:11:34.580214,0,8.799344440594195,7699.426385519921,32.997541652228236,100.0,6.65421690148227,17.03193481384908,1,6
2025-06-11 12:11:34.580214,0,7.406808437916774,6480.957383177177,27.7755316421879,100.0,6.820196278707387,11.443105389257278,1,6
2025-06-12 08:11:34.580214,0,7.220054025479249,6317.547272294343,27.075202595547186,100.0,6.880386529125791,11.583207684761545,1,6
2025-06-13 10:11:34.580214,0,7.8823733013988235,6897.076638723971,29.558899880245587,100.0,6.485453541021313,12.98710187780319,1,6
2025-06-14 19:11:34.580214,0,8.663291170613492,7580.3797742868055,32.4873418898006,100.0,6.133253731161388,12.237227208661636,1,6
2025-06-15 03:18:49.343204,0,8.0,7000.0,30.0,1826.0,6.533995413849964,15.411679247954819,1,6
2025-06-15 03:19:21.319794,0,8.0,7000.0,30.0,1826.0,7.007187661871486,12.211734606517197,1,6
2025-06-15 03:26:02.326743,0,8.0,7000.0,30.0,1826.0,6.292119158238325,14.30288656102868,1,6
2025-06-15 03:26:24.854131,0,8.0,7000.0,30.0,1826.0,6.376494712758093,12.2546633255899,1,6
2025-06-15 03:30:05.833678,0,8.0,7000.0,30.0,1826.0,6.329634036408902,13.824151349210686,1,6
2025-06-15 03:38:15.574882,0,6.5,1000,33.95153,1826.0,6.509528567540149,8.0,0,6
2025-06-15 03:38:33.729218,0,6.5,1000,33.95153,1826.0,6.348102307209547,8.0,0,6
2025-06-15 03:40:06.190368,0,6.5,1000,33.95153,1826.0,6.322082030185988,8.0,0,6
2025-06-15 03:43:10.830340,0,3.77957,0.0,33.95153,1826.0,5.19228846725329,12.204845538998306,1,6
2025-06-15 03:43:53.625386,0,3.77957,0.0,33.95153,1826.0,5.839596924333883,15.155897664651611,1,6
2025-06-15 03:44:02.669031,0,3.77957,0.0,33.95153,1826.0,5.348401279340818,11.654148432264197,0,6
2025-06-15 03:44:39.093490,0,3.77957,0.0,33.95153,1826.0,5.007182554258855,13.40963890460274,1,6
2025-06-15 03:44:46.678909,0,3.77957,0.0,33.95153,1826.0,5.23908218068762,12.813154717710372,1,6
